K,lr,weight_decay,hidden_channels,heads,val_loss,val_avg_distance,test_avg_distance
6,0.01,0.0001,64,3,0.0006999348406679928,0.3240562677383423,3.7232878
5,0.005,1e-05,64,2,0.000596715253777802,0.31215742230415344,3.7266974
5,0.005,0.0001,128,2,0.0008221174939535558,0.36193838715553284,3.73443
8,0.005,5e-05,32,2,0.0006374078802764416,0.3164498209953308,3.7703104
7,0.01,0.0005,64,1,0.0012758314842358232,0.45388340950012207,3.7727444
5,0.005,1e-05,32,2,0.0006813768995925784,0.33434486389160156,3.7809968
6,0.01,0.0005,128,3,0.001600469695404172,0.5076737999916077,3.7931116
6,0.005,5e-05,128,2,0.0008927942835725844,0.3463515043258667,3.7932901
6,0.01,1e-05,32,3,0.0006698149372823536,0.330974817276001,3.8075373
7,0.01,5e-05,64,2,0.0006836040411144495,0.3351050913333893,3.8097186
6,0.005,0.0001,128,1,0.0009382307762280107,0.3854272961616516,3.8160179
7,0.005,1e-05,128,3,0.0007500540232285857,0.3457087278366089,3.8216894
5,0.005,1e-05,128,2,0.0008086654124781489,0.3609936833381653,3.8366323
6,0.005,5e-05,32,3,0.0007103269454091787,0.34195414185523987,3.8442535
7,0.01,5e-05,32,3,0.0010068081319332123,0.39307376742362976,3.8640106
6,0.005,0.0005,128,3,0.0018626840319484472,0.5457350611686707,3.8897336
5,0.005,0.0001,64,3,0.0008169182110577822,0.36148902773857117,3.8922694
8,0.01,1e-05,32,2,0.0006663004169240594,0.3188726305961609,3.9165323
8,0.01,0.0005,32,2,0.001281190779991448,0.44850438833236694,3.9165723
7,0.01,1e-05,128,1,0.0007065897807478905,0.3355504274368286,3.9484897
8,0.005,1e-05,64,2,0.00064655183814466,0.3195011019706726,3.9614615
